"乕";9999;7;"表外漢字 (hyōgai kanji)";"丿";"コ ";"とら ";"null";"tiger, brave, fierce, surname";44;"ko ";"tora "
"乗";377;9;"教育漢字 (kyōiku kanji)";"丿";"ジョウ, ショウ ";"の.る, -の.り, の.せる ";"のり ";"ride, power, multiplication, record, counter for vehicles, board, mount, join";45;"jou, shou ";"no.ru, -no.ri, no.seru "
"乙";1841;1;"常用漢字 (jōyō kanji)";"乙(⺄,乚)";"オツ, イツ ";"おと-, きのと ";"null";"the latter, duplicate, strange, witty, fishhook radical (no. 5)";46;"otsu, itsu ";"oto-, kinoto "
"乚";9999;1;"表外漢字 (hyōgai kanji)";"乙(⺄,乚)";"イン, オン ";"かく.す, かく.れる, かか.す, よ.る ";"null";"hidden, mysterious, secret, to conceal, small, minute, fishhook radical variant (no. 5)";47;"in, on ";"kaku.su, kaku.reru, kaka.su, yo.ru "
"九";55;2;"教育漢字 (kyōiku kanji)";"乙(⺄,乚)";"キュウ, ク ";"ここの, ここの.つ ";"いちじく, いちのく, この, ひさし ";"nine";48;"kyuu, ku ";"kokono, kokono.tsu "
"乞";2478;3;"常用漢字 (jōyō kanji)";"乙(⺄,乚)";"コツ, キツ, キ, キケ, コチ ";"こ.う ";"null";"beg, invite, ask";49;"kotsu, kitsu, ki, kike, kochi ";"ko.u "
"也";1404;3;"人名用漢字 (jinmeiyō kanji)";"乙(⺄,乚)";"ヤ, エ ";"なり, か, また ";"し ";"to be (classical)";50;"ya, e ";"nari, ka, mata "
"乱";755;7;"教育漢字 (kyōiku kanji)";"乙(⺄,乚)";"ラン, ロン ";"みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る ";"ら ";"riot, war, disorder, disturb";51;"ran, ron ";"mida.reru, mida.ru, mida.su, mida, osa.meru, wata.ru "
"乳";1289;8;"教育漢字 (kyōiku kanji)";"乙(⺄,乚)";"ニュウ ";"ちち, ち ";"null";"milk, breasts";52;"nyuu ";"chichi, chi "
"乾";1453;11;"常用漢字 (jōyō kanji)";"乙(⺄,乚)";"カン, ケン ";"かわ.く, かわ.かす, ほ.す, ひ.る, いぬい ";"null";"drought, dry, dessicate, drink up, heaven, emperor";53;"kan, ken ";"kawa.ku, kawa.kasu, ho.su, hi.ru, inui "
"亀";1353;11;"常用漢字 (jōyō kanji)";"龜";"キ, キュウ, キン ";"かめ ";"ひさ, ひさし ";"tortoise, turtle";54;"ki, kyuu, kin ";"kame "
"了";792;2;"常用漢字 (jōyō kanji)";"亅";"リョウ ";"null";"さとる ";"complete, finish";55;"ryou ";"null"
"予";180;4;"教育漢字 (kyōiku kanji)";"亅";"ヨ, シャ ";"あらかじ.め ";"null";"beforehand, previous, myself, I";56;"yo, sha ";"arakaji.me "
"争";271;6;"教育漢字 (kyōiku kanji)";"爪(爫)";"ソウ ";"あらそ.う, いか.でか ";"null";"contend, dispute, argue";57;"sou ";"araso.u, ika.deka "
"事";18;8;"教育漢字 (kyōiku kanji)";"亅";"ジ, ズ ";"こと, つか.う, つか.える ";"ろ ";"matter, thing, fact, business, reason, possibly";58;"ji, zu ";"koto, tsuka.u, tsuka.eru "
"二";9;2;"教育漢字 (kyōiku kanji)";"二";"ニ, ジ ";"ふた, ふた.つ, ふたたび ";"おと, つぐ, つぎ, にい, は, ふ, ふたつ, ふだ, わ ";"two, two radical (no.2)";59;"ni, ji ";"futa, futa.tsu, futatabi "
"亍";9999;3;"表外漢字 (hyōgai kanji)";"二";"チョク ";"たたず.む ";"null";"to take small steps, Korean place name";60;"choku ";"tatazu.mu "
"于";9999;3;"表外漢字 (hyōgai kanji)";"二";"ウ, ク ";"ここに, ああ, おいて, に, より, を ";"null";"going, from";61;"u, ku ";"kokoni, aa, oite, ni, yori, wo "
